Marque,Modèle,Année,Kilométrage,Etat,Prix,Type de Carburant,Transmission
Peugeot,3008,2023,11000.0,Occasion,22399.0,Essence,Manuelle
Peugeot,3008,2023,21733.0,Occasion,22499.0,Essence,Manuelle
Peugeot,3008,2024,11492.0,Occasion,29999.0,Diesel,Auto.
Peugeot,3008,2017,97194.0,Occasion,11999.0,Essence,Manuelle
Renault,Clio 5,2023,20049.0,Occasion,18699.0,Diesel,Manuelle
Peugeot,3008,2021,62960.0,Occasion,23699.0,Diesel,Auto.
Citroën,C3,2021,71454.0,Occasion,11999.0,Diesel,Manuelle
Toyota,Yaris 4,2023,26941.0,Occasion,17799.0,Essence,Manuelle
Mercedes,Classe A,2018,89750.0,Occasion,17999.0,Diesel,Auto.
Peugeot,3008,2024,13107.0,Occasion,23999.0,Essence,Manuelle
Peugeot,3008,2024,20805.0,Occasion,27499.0,Micro-hybride,Auto.
Peugeot,3008,2022,68117.0,Occasion,26499.0,Diesel,Auto.
Renault,Clio 5,2021,25625.0,Occasion,15999.0,Essence,Manuelle
Renault,Clio 5,2019,32718.0,Occasion,15999.0,Essence,Manuelle
Renault,Austral,2024,350.0,Occasion,32399.0,Micro-hybride,Auto.
Peugeot,308,2016,65855.0,Occasion,11499.0,Essence,Auto.
Peugeot,3008,2020,56045.0,Occasion,22499.0,Diesel,Manuelle
Citroën,C4,2016,86914.0,Occasion,8999.0,Essence,Manuelle
Peugeot,3008,2023,20270.0,Occasion,22499.0,Essence,Manuelle
Peugeot,3008,2017,104440.0,Occasion,16799.0,Diesel,Auto.
Peugeot,3008,2018,83814.0,Occasion,12999.0,Essence,Manuelle
